'resource_group_id','display_label','description'
'YYBgNJLjhmHpAgmkd5_gFA','fs3_PostgreSQL Server','Set of M&amp;EaaS best practices Thresholds for PostgreSQL Server'
'2-ZMLgzB6ikW4ovY2OXwaw','fs3_RedHat Linux OS','Set of M&amp;EaaS best practices Thresholds for RedHat Linux operating system'
'6-ixdeeRp7WCAQ2S7wuERQ','fs3_Ruby Applications','Set of M&amp;EaaS best practices Thresholds for Ruby Applications'
'1tghrbEhbnBIedjnef6CcA','fs3_SUSE Linux OS','Set of M&amp;EaaS best practices Thresholds for SUSE Linux Operating System'
'9bH2CvmAoF4MduHVCNXNRQ','fs3_Synthetic Playback','Set of M&amp;EaaS best practices Thresholds for Synthetic Playback agent'
'eKvJVVDN5iFGgo67BuajRA','fs3_Tomcat Server','Set of M&amp;EaaS best practices Thresholds for Tomcat Server'
'3__ATC78BFErIcT3V5tH9Q','fs3_VMware VI','Set of M&amp;EaaS best practices Thresholds for VMware VI'
'IlRpdj1A8KwXEpPsD_ikBQ','fs3_Web Response Time','Set of M&amp;EaaS best practices Thresholds for Web Response Time'
'HdEoQA7jvsCi06XYwsTQTw','fs3_WebSphere Applications','Set of M&amp;EaaS best practices Thresholds for WebSphere Applications'
'y6q_Cquq-Cge0zTA9ZdMaQ','fs3_WebSphere MQ','Set of M&amp;EaaS best practices Thresholds for WebSphere MQ'
'_iEmP_X2j6rh747C08Etiw','fs3_Windows OS','Set of M&amp;EaaS best practices Thresholds for Windows operating system'
'tkYg1sA7nBTi1YMNp-K_mA','fs3_Windows OS (GSMA)','Set of M&amp;EaaS best practices Thresholds for Windows operating system (GSMA/BlueCARE Agent)'
'03_OcYc5e86wdBK516FcKA','marcinGroupLabel','marcin Custom group description'
'jG9ZVosuFBiUWpVm1T3uFw','mbl_AIX OS','Set of M&EaaS best practices Thresholds for AIX operating system'
'Iky-x-pU1w9oJlomKvWFtQ','mbl_Active Directory','Set of M&EaaS best practices Thresholds for Active Directory'
'rUwLkatcoJanP_KHn8hjYA','mbl_Cassandra Database','Set of M&EaaS best practices Thresholds for Cassandra Database'
'8XNm_pu5_6b6ERKja7poVg','mbl_Custom_MonSol (Demo)','This custom Linux Monitoring Solution was created just for tests and demonstration.'
'H3kafCdYQzyTm3ChnYkU3A','mbl_DB2 Server','Set of M&EaaS best practices Thresholds for DB2 Server'
'SmlpyigRzIkuFE0OwR_kcw','mbl_HMC Base','Set of M&EaaS best practices Thresholds for HMC'
'odWyUau5QHsblPNSl5dvUw','mbl_HTTP Server','Set of M&EaaS best practices Thresholds for HTTP Server (Apache, IBM HTTP Server)'
'54RqwtCwX_8nU_4WQJJuZg','mbl_Linux OS Universal Thresholds','Set of M&EaaS best practices Thresholds for Linux operating systems (SUSE/RedHat)'
'AOrfMmnd5Af9PANIhW8xoQ','mbl_LogFiles','Set of M&EaaS best practices Thresholds for Log Files'
'OLFA56JZ_QRzUliedsdUBg','mbl_MS Exchange','Set of M&EaaS best practices Thresholds for MS Exchange'
'oisOwdtCwnYC3vRqn-8oBA','mbl_Microsoft Cluster Server','Set of M&EaaS best practices Thresholds for Microsoft Cluster Server'
'G1NThVDD7bWCHPDENB4gyA','mbl_Microsoft IIS','Set of M&EaaS best practices Thresholds for Microsoft IIS'
'XBvO0L4jLUtbUVE-6sUC2w','mbl_Microsoft SQL Server','Set of M&EaaS best practices Thresholds for Microsoft SQL Server'
'g5VoEZgIy3K16Z4xlidvew','mbl_MongoDB Database','Set of M&EaaS best practices Thresholds for MongoDB Database'
'o_YTtlsWJIyDA2HZhG7BVw','mbl_PostgreSQL Server','Set of M&EaaS best practices Thresholds for PostgreSQL Server'
'sT8Yk5Hwf6kols-TmCVT8Q','mbl_RedHat Linux OS','Set of M&EaaS best practices Thresholds for RedHat Linux operating system'
'poAXZwxpAXAAnWjXx4Fhxg','mbl_SUSE Linux OS','Set of M&EaaS best practices Thresholds for SUSE Linux Operating System'
'5YVyxNSG-p2uNfiMOvuMtw','mbl_Synthetic Playback','Set of M&EaaS best practices Thresholds for Synthetic Playback agent'
'Ihq6z27GkhmIpditDfSNBg','mbl_Tomcat Server','Set of M&EaaS best practices Thresholds for Tomcat Server'
'CiliGIIgPhgT0icp6MnJ7A','mbl_VMware VI','Set of M&EaaS best practices Thresholds for VMware VI'
'rGGmf_CwJkoxreAxBCdOHg','mbl_Web Response Time','Set of M&EaaS best practices Thresholds for Web Response Time'
'gLWmKZj_4Dd0l_DIQNnaZg','mbl_WebSphere Applications','Set of M&EaaS best practices Thresholds for WebSphere Applications'
'LSlUu8HwaypuhCmoHI5hWw','mbl_WebSphere MQ','Set of M&EaaS best practices Thresholds for WebSphere MQ'
'uA5sSoLXhbBzjhu-q6ES_Q','mbl_Windows OS','Set of M&EaaS best practices Thresholds for Windows operating system'
'lBwfiWecNMXa-MmLru-sZA','olg_AIX OS','Set of M&amp;EaaS best practices Thresholds for AIX operating system - updated on 0602 12:40PM'
'9Z7fMyYbL9dT999KLwipyw','olg_DB2 Server','Set of M&amp;EaaS best practices Thresholds for DB2 Server'
'9yL0SsYM1mxABVfznGvSiw','olg_DB2 develop','last test on dev env'
'8NVUgPu61WQcBExfA1ZrBw','olg_HTTP Server','Set of M&amp;EaaS best practices Thresholds for HTTP Server (Apache, IBM HTTP Server) updated'
'1oCFjKKdXCq7PoPpvi5UAw','olg_Linux OS Universal Thresholds','Set of M&amp;EaaS best practices Thresholds for Linux operating systems (SUSE/RedHat)'
'59IVKmL_XwDdHKBerwORqQ','olg_LogFiles','Set of M&amp;EaaS best practices Thresholds for Log Files'
'KHH5TgJ6XqgZgY0pDMRsQA','olg_Microsoft SQL Server','Set of M&amp;EaaS best practices Thresholds for Microsoft SQL Server'
'6ISgQRGPPDUsE40iGphAGQ','olg_MongoDB Database','Set of M&amp;EaaS best practices Thresholds for MongoDB Database'
'XVsVN_lraGzlBYcRX_CDeQ','olg_PostgreSQL Server','Set of M&amp;EaaS best practices Thresholds for PostgreSQL Server'
'BBoF0o_2-e2BPTk6eD6ing','olg_RedHat Linux OS','Set of M&amp;EaaS best practices Thresholds for RedHat Linux operating system'
'_GkkIsBugyVP4XDJ-sQubg','olg_Ruby Applications','Set of M&amp;EaaS best practices Thresholds for Ruby Applications'
'WrZIN6nLFLLq9yGlDDTPkA','olg_SUSE Linux OS','Set of M&amp;EaaS best practices Thresholds for SUSE Linux Operating System'
'a7JIQS7GGIsT3jQjvDlA1g','olg_Synthetic Playback','Set of M&amp;EaaS best practices Thresholds for Synthetic Playback agent'
'f_VbNmi0PD-zTykpidHz2A','olg_Tomcat Server','Set of M&amp;EaaS best practices Thresholds for Tomcat Server'
'KgcSPFoGG9imOqp6JkpcwQ','olg_Web Response Time','Set of M&amp;EaaS best practices Thresholds for Web Response Time'
